id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
83,33,admin.,married,tertiary,no,681,yes,no,cellular,21,nov,105,1,-1,0,unknown,0
84,46,blue-collar,married,primary,no,1577,yes,no,cellular,17,apr,585,4,-1,0,unknown,0
85,45,blue-collar,married,secondary,no,597,yes,no,unknown,29,may,878,3,-1,0,unknown,0
86,43,management,married,tertiary,no,13044,no,no,cellular,18,aug,243,4,-1,0,unknown,0
87,54,services,married,primary,no,0,no,no,cellular,30,jul,124,2,-1,0,unknown,0
88,60,technician,married,secondary,no,116,no,no,cellular,29,jul,795,2,183,4,success,1
89,33,technician,married,tertiary,no,43,yes,no,unknown,8,may,95,1,-1,0,unknown,0
90,42,management,married,tertiary,no,764,yes,no,cellular,18,may,7,4,-1,0,unknown,0
91,37,technician,married,secondary,no,-24,yes,yes,cellular,24,jul,150,2,-1,0,unknown,0
92,50,blue-collar,married,secondary,no,-35,yes,no,unknown,7,may,121,2,-1,0,unknown,0
93,40,admin.,single,secondary,no,0,yes,no,unknown,5,may,179,1,-1,0,unknown,0
94,34,technician,married,secondary,no,787,yes,no,unknown,26,may,70,1,-1,0,unknown,0
95,32,blue-collar,married,primary,no,473,yes,no,unknown,7,may,707,3,-1,0,unknown,1
96,39,services,married,secondary,no,-388,yes,no,unknown,9,may,175,1,-1,0,unknown,0
97,27,services,single,primary,no,1659,yes,no,unknown,3,jun,220,6,-1,0,unknown,0
98,52,unemployed,married,secondary,no,5,no,no,cellular,29,jan,130,1,-1,0,unknown,0
99,51,admin.,married,secondary,no,-45,no,no,unknown,30,may,71,6,-1,0,unknown,0
100,34,management,married,tertiary,no,786,yes,no,cellular,10,jul,121,1,-1,0,unknown,0
101,32,management,married,tertiary,no,101,yes,no,unknown,23,may,8,1,-1,0,unknown,0
102,41,blue-collar,married,primary,no,-17,yes,no,unknown,26,may,198,2,-1,0,unknown,0
103,30,management,single,tertiary,no,705,no,no,cellular,7,aug,209,2,-1,0,unknown,0
104,48,management,married,tertiary,no,0,no,yes,cellular,25,jul,1486,4,-1,0,unknown,1
105,32,management,single,tertiary,no,2360,no,no,cellular,30,apr,542,1,87,1,success,1
106,32,blue-collar,married,secondary,no,-1,yes,no,unknown,9,may,260,1,-1,0,unknown,0
107,30,self-employed,married,secondary,no,4210,no,no,cellular,11,aug,136,1,91,3,success,0
108,29,blue-collar,single,secondary,no,804,no,no,cellular,5,feb,10,6,-1,0,unknown,0
109,45,technician,single,unknown,no,6,yes,no,cellular,18,nov,108,1,168,1,failure,0
110,81,retired,married,secondary,no,0,no,no,telephone,16,oct,170,1,-1,0,unknown,0
111,52,management,married,tertiary,no,518,no,no,cellular,1,jun,638,1,-1,0,unknown,1
112,39,management,married,secondary,no,1301,no,no,cellular,21,nov,988,7,-1,0,unknown,1
113,46,management,married,tertiary,no,3,no,no,unknown,5,jun,138,3,-1,0,unknown,0
114,37,admin.,single,secondary,no,99,no,no,cellular,30,jan,968,1,-1,0,unknown,1
115,52,technician,married,secondary,no,0,no,no,cellular,29,aug,91,2,-1,0,unknown,0
116,23,management,single,tertiary,no,826,no,no,cellular,31,mar,119,1,-1,0,unknown,0
117,28,blue-collar,married,secondary,no,459,no,no,cellular,14,may,875,1,-1,0,unknown,1
118,52,blue-collar,divorced,secondary,no,961,yes,no,cellular,2,feb,564,1,-1,0,unknown,0
119,42,technician,married,unknown,no,2366,no,no,cellular,19,nov,159,1,-1,0,unknown,0
120,58,retired,married,secondary,no,14,yes,no,unknown,19,may,162,4,-1,0,unknown,0
121,26,admin.,single,tertiary,no,659,no,no,cellular,3,feb,56,3,-1,0,unknown,0
122,52,technician,married,secondary,no,1761,no,yes,cellular,23,jul,61,1,-1,0,unknown,0
123,32,management,single,tertiary,no,1808,yes,no,cellular,21,nov,156,1,-1,0,unknown,0
124,57,retired,married,primary,no,736,yes,no,unknown,30,jun,71,2,-1,0,unknown,0
125,59,retired,married,secondary,no,-156,yes,yes,cellular,7,aug,82,2,-1,0,unknown,0
126,31,technician,married,secondary,no,0,no,no,cellular,5,aug,133,2,-1,0,unknown,0
127,31,blue-collar,married,secondary,no,0,yes,no,unknown,7,may,235,1,-1,0,unknown,0
128,35,student,single,unknown,no,17,no,no,cellular,22,jul,188,1,-1,0,unknown,0
129,39,management,single,tertiary,no,1277,yes,no,unknown,3,jun,984,2,-1,0,unknown,0
130,46,blue-collar,married,primary,no,-79,yes,no,unknown,14,may,397,2,-1,0,unknown,0
131,42,services,married,secondary,no,1559,yes,no,cellular,8,may,568,1,172,2,failure,0
132,31,blue-collar,married,secondary,no,37,no,no,cellular,4,aug,103,1,-1,0,unknown,0
133,59,unemployed,married,tertiary,no,3628,no,no,cellular,12,aug,128,1,-1,0,unknown,0
134,32,blue-collar,married,secondary,no,907,yes,no,unknown,9,may,111,1,-1,0,unknown,0
135,35,blue-collar,married,secondary,no,2234,yes,no,unknown,2,jun,638,5,-1,0,unknown,0
136,33,admin.,single,secondary,no,37,yes,no,unknown,19,may,163,2,-1,0,unknown,0
137,38,blue-collar,married,secondary,no,0,no,yes,cellular,20,nov,87,2,-1,0,unknown,0
138,38,blue-collar,married,secondary,no,579,yes,no,unknown,30,may,135,2,-1,0,unknown,0
139,62,management,married,secondary,no,276,no,no,cellular,6,oct,585,1,-1,0,unknown,1
140,42,admin.,single,tertiary,no,2133,yes,yes,cellular,6,may,88,2,364,1,failure,0
141,53,management,married,tertiary,no,596,no,no,cellular,5,aug,101,2,-1,0,unknown,0
142,72,management,married,secondary,no,0,no,no,cellular,20,apr,5,1,-1,0,unknown,0
143,50,blue-collar,married,primary,no,-219,yes,no,unknown,15,may,97,1,-1,0,unknown,0
144,43,blue-collar,divorced,primary,no,1401,no,yes,unknown,6,jun,682,8,-1,0,unknown,0
145,29,admin.,single,secondary,no,-62,no,yes,unknown,16,may,1201,1,-1,0,unknown,1
146,38,management,single,tertiary,no,454,no,no,cellular,7,aug,473,3,-1,0,unknown,0
147,43,admin.,married,secondary,no,587,no,no,unknown,12,jun,136,1,-1,0,unknown,0
148,37,services,married,secondary,no,4044,no,no,unknown,20,jun,71,3,-1,0,unknown,0
149,55,admin.,married,secondary,no,1425,yes,no,cellular,29,jan,73,1,-1,0,unknown,0
150,51,entrepreneur,married,primary,no,2594,yes,no,cellular,6,may,193,1,-1,0,unknown,0
151,25,blue-collar,married,secondary,no,-37,yes,no,cellular,14,may,124,4,-1,0,unknown,0
152,39,blue-collar,divorced,secondary,no,0,no,no,unknown,26,jun,110,4,-1,0,unknown,0
153,37,services,single,secondary,no,-224,no,no,unknown,17,jun,132,2,-1,0,unknown,0
154,33,services,single,secondary,no,1048,yes,no,cellular,7,may,93,2,-1,0,unknown,0
155,55,services,married,secondary,no,324,no,no,cellular,18,aug,74,4,-1,0,unknown,0
156,32,blue-collar,single,secondary,no,1450,yes,no,cellular,18,may,166,1,-1,0,unknown,0
157,34,management,married,tertiary,no,0,no,no,cellular,8,jun,278,2,-1,0,unknown,1
158,43,blue-collar,married,primary,no,4056,yes,no,unknown,5,may,147,1,-1,0,unknown,0
159,49,blue-collar,married,secondary,no,769,yes,no,cellular,5,feb,39,1,266,2,other,0
160,40,services,married,primary,no,89,yes,no,cellular,21,jul,528,10,-1,0,unknown,0
161,26,services,single,secondary,no,23,no,no,telephone,9,feb,58,2,-1,0,unknown,0
162,45,blue-collar,married,secondary,no,2071,no,yes,cellular,22,jul,127,2,-1,0,unknown,0
163,51,technician,divorced,secondary,no,-2282,yes,yes,cellular,15,jul,301,1,-1,0,unknown,0
164,30,services,single,secondary,no,0,yes,no,telephone,28,jul,65,2,-1,0,unknown,0
165,32,management,married,tertiary,no,-199,no,no,cellular,29,aug,121,5,-1,0,unknown,0
166,60,services,divorced,secondary,no,654,no,no,cellular,1,oct,352,1,122,1,failure,1
167,44,admin.,single,tertiary,no,1000,no,no,cellular,9,mar,229,1,-1,0,unknown,1
168,46,admin.,single,primary,no,442,yes,no,unknown,15,may,216,2,-1,0,unknown,0
169,28,student,single,secondary,no,8,no,no,cellular,16,sep,245,2,94,4,other,0
170,60,technician,married,tertiary,no,481,no,no,cellular,19,aug,110,2,-1,0,unknown,0
171,46,management,married,tertiary,no,658,no,no,cellular,25,aug,78,8,-1,0,unknown,0
172,43,admin.,married,secondary,no,-938,yes,no,unknown,6,may,200,1,-1,0,unknown,0
173,36,management,married,tertiary,no,657,no,no,cellular,22,aug,119,4,-1,0,unknown,0
174,48,unemployed,married,primary,no,5462,no,no,cellular,5,feb,63,1,-1,0,unknown,0
175,30,admin.,single,secondary,no,1345,yes,no,cellular,17,apr,249,1,-1,0,unknown,0
176,57,retired,married,secondary,no,2194,no,no,cellular,14,aug,88,2,-1,0,unknown,0
177,41,blue-collar,divorced,secondary,no,-94,yes,no,cellular,11,may,143,1,-1,0,unknown,0
178,40,blue-collar,married,secondary,no,920,yes,yes,unknown,14,may,220,1,-1,0,unknown,0
179,49,management,married,tertiary,no,0,yes,no,cellular,17,nov,108,1,196,2,failure,0
180,51,management,married,tertiary,no,0,no,no,cellular,26,may,128,1,-1,0,unknown,0
181,40,blue-collar,married,primary,no,3188,yes,no,cellular,19,nov,641,1,-1,0,unknown,0
182,60,blue-collar,married,primary,no,1680,no,no,telephone,8,apr,442,1,-1,0,unknown,1
183,32,services,single,secondary,no,1358,yes,no,cellular,15,may,193,1,-1,0,unknown,0
184,37,management,divorced,tertiary,no,997,yes,no,cellular,17,nov,75,1,-1,0,unknown,0
185,43,blue-collar,married,primary,no,40,yes,no,unknown,30,may,536,1,-1,0,unknown,1
186,42,management,married,secondary,no,0,no,no,cellular,18,aug,129,6,-1,0,unknown,0
187,32,technician,married,secondary,no,1063,yes,yes,unknown,16,may,703,1,-1,0,unknown,0
188,30,technician,single,secondary,no,690,no,yes,cellular,3,feb,863,2,-1,0,unknown,0
189,55,technician,divorced,secondary,no,0,yes,no,cellular,17,apr,17,5,324,3,other,0
190,32,management,single,tertiary,no,2551,no,no,cellular,14,aug,766,3,-1,0,unknown,1
191,28,services,single,secondary,no,-285,yes,yes,unknown,4,jun,123,2,-1,0,unknown,0
192,48,admin.,married,secondary,no,7303,no,no,cellular,1,mar,123,1,-1,0,unknown,0
193,41,technician,married,secondary,no,681,no,no,cellular,30,jul,151,2,-1,0,unknown,0
194,61,retired,married,primary,no,1388,no,no,cellular,11,aug,585,2,92,5,failure,0
195,26,services,single,secondary,yes,-162,yes,no,unknown,20,jun,44,3,-1,0,unknown,0
196,42,blue-collar,married,secondary,no,528,yes,yes,unknown,29,may,123,2,-1,0,unknown,0
197,32,management,married,tertiary,no,1130,yes,no,cellular,14,may,125,1,-1,0,unknown,0
198,52,management,married,tertiary,no,781,no,yes,cellular,8,jul,103,1,-1,0,unknown,0
199,32,admin.,divorced,secondary,no,-70,yes,no,unknown,28,may,121,1,-1,0,unknown,0
200,55,blue-collar,married,primary,no,2054,yes,no,unknown,17,jun,123,1,-1,0,unknown,0
201,35,blue-collar,married,secondary,no,2598,yes,no,cellular,16,apr,764,1,-1,0,unknown,0
202,35,blue-collar,married,secondary,no,1757,no,no,unknown,16,jun,93,1,-1,0,unknown,0
203,60,housemaid,divorced,secondary,no,2519,no,yes,unknown,9,jun,87,5,-1,0,unknown,0
204,42,technician,single,secondary,no,-163,yes,no,cellular,14,may,154,1,348,1,other,0
205,37,blue-collar,married,primary,no,2490,yes,no,unknown,21,may,115,2,-1,0,unknown,0
206,26,management,single,tertiary,no,3154,yes,no,unknown,3,jun,235,1,-1,0,unknown,0
207,31,management,single,tertiary,no,12956,yes,no,cellular,5,feb,1136,3,-1,0,unknown,1
208,52,technician,single,secondary,no,3234,no,no,cellular,21,nov,509,2,-1,0,unknown,0
209,41,admin.,married,secondary,no,0,no,no,cellular,30,jul,71,4,-1,0,unknown,0
210,31,management,married,tertiary,no,1331,no,no,cellular,23,sep,211,1,92,6,success,1
211,33,management,single,tertiary,no,725,no,no,cellular,28,aug,472,2,-1,0,unknown,0
212,41,admin.,single,secondary,no,206,yes,no,unknown,13,may,117,2,-1,0,unknown,0
213,28,self-employed,single,tertiary,no,994,yes,no,cellular,8,oct,271,2,97,4,success,1
214,31,blue-collar,single,secondary,no,86,yes,no,unknown,3,jun,824,1,-1,0,unknown,1
215,60,retired,married,secondary,no,561,no,no,unknown,20,jun,764,1,-1,0,unknown,1
216,33,services,divorced,secondary,no,8,yes,yes,cellular,22,jul,15,15,-1,0,unknown,0
217,27,admin.,single,secondary,no,-267,no,yes,cellular,8,jul,86,1,-1,0,unknown,0
218,47,entrepreneur,married,primary,yes,0,yes,no,cellular,8,jul,135,1,-1,0,unknown,0
219,63,retired,married,tertiary,no,0,no,no,telephone,20,apr,220,1,173,2,failure,0
220,35,technician,married,secondary,no,0,no,no,cellular,18,nov,63,1,-1,0,unknown,0
221,43,management,married,tertiary,no,647,yes,no,cellular,22,jul,73,2,-1,0,unknown,0
222,51,unemployed,married,secondary,no,565,no,no,cellular,30,apr,624,1,-1,0,unknown,1
223,31,blue-collar,married,secondary,no,1794,yes,yes,cellular,20,nov,515,2,-1,0,unknown,0
224,59,blue-collar,married,primary,no,581,no,no,unknown,3,jul,462,1,-1,0,unknown,0
225,42,technician,married,unknown,no,493,yes,no,unknown,5,may,434,1,-1,0,unknown,0
226,37,management,single,tertiary,no,659,no,no,cellular,20,aug,67,2,-1,0,unknown,0
227,36,management,married,tertiary,no,1660,yes,no,unknown,4,jun,128,2,-1,0,unknown,0
228,35,management,single,tertiary,no,2360,yes,no,cellular,15,may,755,1,-1,0,unknown,1
229,45,technician,married,secondary,no,0,yes,no,cellular,20,nov,159,2,190,6,other,0
230,24,admin.,single,secondary,no,0,no,no,cellular,10,jul,127,1,-1,0,unknown,0
231,50,admin.,married,secondary,no,1687,yes,no,unknown,19,jun,179,3,-1,0,unknown,0
232,52,technician,divorced,secondary,yes,16,no,no,cellular,19,nov,50,1,-1,0,unknown,0
233,50,blue-collar,married,secondary,no,1040,no,no,cellular,29,jul,599,2,-1,0,unknown,0
234,35,management,single,tertiary,no,2696,yes,no,cellular,2,jun,226,1,91,6,success,1
235,48,technician,divorced,tertiary,no,49,no,no,cellular,20,aug,79,2,-1,0,unknown,0
236,32,admin.,single,secondary,no,0,yes,no,cellular,3,feb,86,1,271,1,failure,0
237,37,technician,married,secondary,no,859,yes,no,unknown,2,jun,80,5,-1,0,unknown,0
238,32,self-employed,single,secondary,no,916,yes,no,unknown,7,may,729,3,-1,0,unknown,0
239,58,entrepreneur,married,tertiary,no,578,yes,yes,cellular,5,feb,156,1,-1,0,unknown,0
240,33,technician,single,secondary,no,865,yes,yes,cellular,11,aug,67,4,-1,0,unknown,0
241,60,blue-collar,married,primary,no,0,yes,no,unknown,6,may,181,2,-1,0,unknown,0
242,44,blue-collar,married,secondary,no,934,no,no,cellular,30,jul,124,3,-1,0,unknown,0
243,41,services,married,secondary,no,1161,yes,no,telephone,5,may,30,2,-1,0,unknown,0
244,54,management,married,secondary,no,11246,no,no,cellular,26,aug,140,2,-1,0,unknown,0
245,50,housemaid,married,primary,no,1098,no,no,unknown,13,may,71,2,-1,0,unknown,0
246,59,retired,married,tertiary,no,991,no,no,unknown,17,jun,595,3,-1,0,unknown,0
247,49,entrepreneur,married,secondary,no,16,yes,no,cellular,31,jul,188,2,-1,0,unknown,0
248,38,management,married,tertiary,no,732,no,no,unknown,9,jun,409,1,-1,0,unknown,0
249,47,management,married,secondary,no,692,no,yes,cellular,25,aug,85,6,-1,0,unknown,0
250,41,management,married,tertiary,no,5773,yes,no,cellular,18,nov,593,2,-1,0,unknown,0
251,30,admin.,single,secondary,no,28,no,no,cellular,2,jun,85,2,-1,0,unknown,0
252,55,blue-collar,married,primary,no,3563,no,no,unknown,18,jun,110,1,-1,0,unknown,0
253,32,technician,single,secondary,no,2682,yes,no,cellular,20,nov,226,1,-1,0,unknown,0
254,30,blue-collar,married,secondary,no,1450,no,yes,cellular,8,aug,129,7,-1,0,unknown,0
255,72,retired,married,secondary,no,1162,no,no,cellular,28,jul,199,1,-1,0,unknown,1
256,35,technician,single,secondary,yes,53,no,no,unknown,12,may,109,1,-1,0,unknown,0
257,37,management,married,tertiary,no,0,no,no,cellular,18,mar,261,2,-1,0,unknown,1
258,30,housemaid,married,tertiary,no,0,yes,yes,telephone,21,nov,65,2,-1,0,unknown,0
259,29,blue-collar,married,primary,no,1078,yes,no,cellular,18,may,9,6,374,4,other,0
260,57,blue-collar,married,primary,no,1728,no,no,cellular,17,nov,68,1,-1,0,unknown,0
261,32,admin.,single,tertiary,no,913,no,yes,cellular,21,jul,442,3,-1,0,unknown,0
262,69,management,married,tertiary,no,482,no,no,cellular,4,nov,69,2,-1,0,unknown,0
263,39,technician,divorced,secondary,no,644,no,yes,cellular,4,aug,155,1,-1,0,unknown,0
264,29,admin.,single,secondary,no,923,no,no,cellular,18,jul,124,2,-1,0,unknown,0
265,25,student,single,secondary,no,2503,no,no,cellular,11,feb,661,1,-1,0,unknown,1
266,46,blue-collar,married,primary,no,1734,yes,no,cellular,24,jul,488,1,-1,0,unknown,0
267,46,blue-collar,married,secondary,no,1496,no,no,cellular,12,aug,114,4,-1,0,unknown,0
268,27,admin.,single,secondary,no,151,no,no,cellular,16,jul,543,6,-1,0,unknown,0
269,25,self-employed,single,tertiary,no,509,no,no,cellular,6,aug,268,1,-1,0,unknown,1
270,32,technician,single,secondary,no,5818,yes,no,cellular,25,may,113,1,185,1,failure,0
271,42,self-employed,single,secondary,no,1605,no,no,unknown,18,jun,158,2,-1,0,unknown,0
272,39,management,married,tertiary,no,0,no,no,cellular,28,aug,74,10,-1,0,unknown,0
273,57,services,married,secondary,no,434,no,no,cellular,20,aug,632,4,-1,0,unknown,0
274,35,blue-collar,married,secondary,no,759,yes,no,unknown,9,may,122,1,-1,0,unknown,0
275,38,self-employed,married,secondary,no,442,yes,no,unknown,6,may,160,1,-1,0,unknown,0
276,51,blue-collar,divorced,primary,no,1416,yes,no,cellular,30,jul,61,4,-1,0,unknown,0
277,34,technician,married,secondary,no,36,yes,no,cellular,26,aug,129,4,-1,0,unknown,0
278,57,admin.,married,secondary,no,1130,no,no,cellular,18,jul,73,9,-1,0,unknown,0
279,47,blue-collar,married,secondary,no,644,no,yes,cellular,21,aug,92,12,-1,0,unknown,0
280,35,management,single,tertiary,no,517,no,no,cellular,28,aug,7,8,-1,0,unknown,0
281,35,admin.,married,secondary,no,441,yes,no,cellular,9,feb,7,3,-1,0,unknown,0
282,34,management,married,tertiary,no,0,no,no,cellular,7,aug,116,4,-1,0,unknown,0
283,55,admin.,married,unknown,no,-488,yes,no,unknown,27,may,165,2,-1,0,unknown,0
284,53,blue-collar,married,secondary,no,544,yes,yes,cellular,17,jul,531,2,-1,0,unknown,0
285,30,technician,single,secondary,no,1412,yes,no,unknown,15,may,297,1,-1,0,unknown,0
286,50,admin.,married,secondary,no,14,yes,no,cellular,7,may,127,1,366,2,failure,0
287,38,blue-collar,married,secondary,no,0,yes,yes,unknown,3,jun,111,1,-1,0,unknown,0
288,58,retired,married,tertiary,no,810,no,no,cellular,12,aug,105,2,-1,0,unknown,0
289,34,technician,divorced,secondary,no,0,no,no,cellular,4,feb,77,1,-1,0,unknown,0
290,38,technician,single,tertiary,no,2443,no,no,unknown,20,jun,1276,12,-1,0,unknown,0
291,43,technician,married,secondary,no,0,no,no,cellular,8,may,112,1,-1,0,unknown,0
292,23,technician,married,secondary,no,486,no,no,cellular,16,jun,169,1,-1,0,unknown,0
293,37,admin.,married,secondary,no,16,no,no,cellular,7,jul,80,4,-1,0,unknown,0
294,40,blue-collar,married,primary,no,-85,yes,yes,unknown,26,may,118,1,-1,0,unknown,0
295,53,technician,single,secondary,no,-477,yes,no,unknown,27,may,431,2,-1,0,unknown,0
296,43,housemaid,married,secondary,no,1286,no,no,cellular,11,nov,150,2,-1,0,unknown,0
297,30,technician,single,tertiary,no,0,no,no,cellular,25,aug,81,6,-1,0,unknown,0
